City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Fairmont,US,2022-09-12 08:59:13,39.4851,-80.1426,69.17,97,100,3.51
97,Paris,FR,2022-09-12 08:58:15,48.8534,2.3488,69.53,77,20,4.61
98,Mar Del Plata,AR,2022-09-12 09:00:28,-38.0023,-57.5575,49.87,76,100,3.0
99,Sangmelima,CM,2022-09-12 09:00:53,2.9333,11.9833,75.24,73,92,3.36
100,Lamu,KE,2022-09-12 09:00:54,-2.2717,40.902,82.62,64,18,12.39
101,Yafran,LY,2022-09-12 09:00:54,32.0633,12.5286,86.86,26,0,1.59
102,Grand-Santi,GF,2022-09-12 09:00:55,4.25,-54.3833,70.66,99,42,1.97
103,Cutler,US,2022-09-12 09:00:55,25.6151,-80.3106,79.99,89,0,0.0
104,Kuytun,RU,2022-09-12 09:00:55,54.3419,101.5036,64.33,61,100,13.6
105,Manaure,CO,2022-09-12 09:00:56,11.7751,-72.4445,82.31,76,37,8.14
106,Estelle,US,2022-09-12 09:00:56,29.8458,-90.1067,75.99,92,3,5.66
107,Masuguru,TZ,2022-09-12 09:00:56,-11.3667,38.4167,91.04,27,12,4.05
108,Carnarvon,AU,2022-09-12 09:00:57,-24.8667,113.6333,70.97,64,13,16.33
109,Primorsk,UA,2022-09-12 09:00:57,46.7348,36.3443,72.05,55,100,7.18
110,Abapo,BO,2022-09-12 09:00:58,-18.8333,-63.4667,56.75,59,80,3.91
111,Nanortalik,GL,2022-09-12 09:00:58,60.1432,-45.2371,42.8,93,98,9.84
112,Olafsvik,IS,2022-09-12 08:57:17,64.8945,-23.7142,49.69,77,100,14.58
113,Stornoway,GB,2022-09-12 09:00:59,58.2093,-6.3865,54.93,89,75,11.5
114,Vacaria,BR,2022-09-12 08:59:35,-28.5122,-50.9339,49.68,85,100,10.16
115,Santa Marta De Tormes,ES,2022-09-12 09:00:59,40.9506,-5.6272,74.86,31,0,10.0
116,Bela Vista De Goias,BR,2022-09-12 09:01:00,-16.9728,-48.9533,70.63,31,15,4.23
117,Kudahuvadhoo,MV,2022-09-12 09:01:00,2.6708,72.8944,82.08,73,24,12.06
118,Sistranda,NO,2022-09-12 09:01:01,63.7256,8.834,53.56,74,100,15.12
119,Ibipeba,BR,2022-09-12 09:01:02,-11.6408,-42.0111,62.71,81,91,10.45
120,Nantucket,US,2022-09-12 09:01:03,41.2835,-70.0995,66.31,45,100,1.12
121,Mahebourg,MU,2022-09-12 09:01:03,-20.4081,57.7,77.25,63,3,12.53
122,Horta,PT,2022-09-12 09:01:04,38.5333,-28.6333,71.24,78,20,11.5
123,Rawson,AR,2022-09-12 09:01:04,-43.3002,-65.1023,48.92,70,60,13.04
124,Requena,ES,2022-09-12 09:01:05,39.4883,-1.1004,72.52,37,100,4.05
125,Kindu,CD,2022-09-12 09:01:05,-2.95,25.95,84.78,58,86,3.67
126,Abu Samrah,SY,2022-09-12 09:01:05,35.3029,37.1841,90.48,22,0,7.92
127,Sabha,LY,2022-09-12 09:01:06,27.0377,14.4283,91.53,16,0,6.31
128,Sovetskiy,RU,2022-09-12 09:01:06,61.3614,63.5842,55.22,49,64,8.72
129,Colares,PT,2022-09-12 09:01:06,38.7992,-9.4469,72.34,86,75,20.0
130,Soyo,AO,2022-09-12 09:01:07,-6.1349,12.3689,76.5,73,78,5.68
131,Chandbali,IN,2022-09-12 09:02:07,20.7833,86.7667,82.94,82,100,18.7
132,Salalah,OM,2022-09-12 09:02:07,17.0151,54.0924,83.57,79,81,11.63
133,Vila Velha,BR,2022-09-12 09:02:08,-20.3297,-40.2925,67.95,82,99,1.99
134,Zlitan,LY,2022-09-12 09:02:08,32.4674,14.5687,85.8,51,0,7.76
135,Tingo Maria,PE,2022-09-12 09:02:08,-9.2895,-76.0088,67.37,89,100,2.04
136,Chapais,CA,2022-09-12 09:02:09,49.7834,-74.8492,58.78,96,99,3.42
137,Kibala,TD,2022-09-12 09:02:09,9.1104,18.3463,82.38,74,70,4.99
138,Paita,PE,2022-09-12 09:02:09,-5.0892,-81.1144,61.11,86,36,12.35
139,Fulton,US,2022-09-12 09:02:10,33.7668,-84.4499,70.5,89,20,4.61
140,Xambioa,BR,2022-09-12 09:02:10,-6.4111,-48.5364,77.67,42,37,2.82
141,Muros,ES,2022-09-12 09:02:10,42.7762,-9.0603,71.69,92,100,12.37
142,Farah,AF,2022-09-12 09:02:11,32.5,62.5,86.68,12,0,10.89
143,Rensvik,NO,2022-09-12 09:02:11,63.1,7.8167,53.87,71,75,5.75
144,Dubti,ET,2022-09-12 09:02:11,11.7361,41.0853,98.04,28,44,7.96
145,Moose Factory,CA,2022-09-12 09:02:12,51.2585,-80.6094,49.87,90,16,5.35
146,Berezovka,BY,2022-09-12 09:02:12,53.7214,25.4993,51.82,93,100,7.96
147,Husavik,IS,2022-09-12 09:02:12,66.0449,-17.3389,49.15,83,100,6.8
148,Saint-Philippe,RE,2022-09-12 09:02:13,-21.3585,55.7679,78.12,72,38,12.82
149,Bongandanga,CD,2022-09-12 09:02:13,1.5,21.05,76.35,75,99,4.0
150,Dordrecht,NL,2022-09-12 09:02:13,51.81,4.6736,70.99,76,87,7.25
151,Iqaluit,CA,2022-09-12 09:02:14,63.7506,-68.5145,42.53,86,100,5.75
152,Teguldet,RU,2022-09-12 09:02:14,57.3064,88.1667,42.94,92,100,8.32
153,Ares,BR,2022-09-12 09:02:15,-6.1944,-35.1603,73.38,80,66,8.28
154,Lodja,CD,2022-09-12 09:02:15,-3.4833,23.4333,88.2,47,26,4.79
155,Ostrovnoy,RU,2022-09-12 09:02:15,68.0531,39.5131,48.6,91,100,6.78
156,Fiche,ET,2022-09-12 09:02:16,9.8,38.7333,62.29,62,10,5.28
157,Jacqueville,CI,2022-09-12 09:02:16,5.2052,-4.4146,74.73,86,97,10.29
158,Kasongo-Lunda,CD,2022-09-12 09:02:16,-6.4667,16.8167,84.87,53,77,1.86
159,Chulumani,BO,2022-09-12 09:02:17,-16.4096,-67.5263,59.56,84,91,2.26
160,Sorland,NO,2022-09-12 09:02:17,67.667,12.6934,51.66,82,100,5.99
161,Moba,CN,2022-09-12 09:02:17,33.2288,105.0179,66.69,71,91,4.79
162,Guhagar,IN,2022-09-12 09:02:18,17.4842,73.1929,80.73,91,100,16.55
163,Saint Anthony,US,2022-09-12 09:02:18,45.0205,-93.218,55.22,89,0,4.61
164,General Pico,AR,2022-09-12 08:58:34,-35.6566,-63.7568,42.48,44,56,6.53
165,Nizwa,OM,2022-09-12 09:02:18,22.9333,57.5333,103.26,17,98,8.01
166,Pascagoula,US,2022-09-12 09:02:19,30.3658,-88.5561,77.04,97,26,4.74
167,Mercedes,AR,2022-09-12 09:02:19,-34.6515,-59.4307,40.78,81,4,1.92
168,Nicosia,CY,2022-09-12 09:02:19,35.1667,33.3667,87.49,48,20,0.0
169,Veraval,IN,2022-09-12 09:01:34,20.9,70.3667,84.02,80,98,11.23
170,Grindavik,IS,2022-09-12 09:02:20,63.8424,-22.4338,46.87,93,0,11.5
171,Ambanja,MG,2022-09-12 09:02:20,-13.6833,48.45,83.08,51,67,8.59
172,Libreville,GA,2022-09-12 09:02:20,0.3925,9.4537,78.82,69,93,7.11
173,Areka,ET,2022-09-12 09:02:21,7.0667,37.7,69.46,75,66,4.27
174,Oranjemund,NA,2022-09-12 09:02:21,-28.55,16.4333,59.54,58,42,15.14
175,Davydovo,RU,2022-09-12 09:02:22,55.6097,38.8569,51.62,60,100,9.42
176,Ginda,IN,2022-09-12 09:02:22,30.6945,78.4932,74.05,70,9,4.68
