City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Khakhea,BW,-24.6895,23.494,75.67,31,0,19.75,clear sky
137,Bambous Virieux,MU,-20.3428,57.7575,79.05,44,75,14.97,broken clouds
138,Ilembula,TZ,-8.9,34.5833,76.73,34,79,12.91,broken clouds
139,Methoni,GR,36.8197,21.7049,82.26,63,4,6.71,clear sky
140,Bongandanga,CD,1.5,21.05,76.14,81,100,2.57,overcast clouds
141,Adamantina,BR,-21.6853,-51.0725,67.26,90,100,9.15,overcast clouds
142,Buraydah,SA,26.326,43.975,100.85,7,0,11.25,clear sky
143,Torbay,CA,47.6666,-52.7314,54.39,96,100,14.97,light intensity drizzle
144,Plouzane,FR,48.3833,-4.6167,64.72,100,100,4.61,mist
145,Shahr-E Kord,IR,32.3256,50.8644,83.97,9,0,4.61,clear sky
146,Karlskoga,SE,59.3267,14.5239,53.38,81,39,8.03,scattered clouds
147,Iquique,CL,-20.2208,-70.1431,55.44,75,16,2.04,few clouds
148,Lixourion,GR,38.2019,20.4314,79.29,47,1,2.82,clear sky
149,Pendencias,BR,-5.26,-36.7222,72.3,85,14,6.98,few clouds
150,Mahebourg,MU,-20.4081,57.7,79.09,44,75,14.97,broken clouds
151,Novoanninskiy,RU,50.5287,42.6747,56.55,97,98,7.85,overcast clouds
152,Krasnyy Luch,UA,48.1395,38.9371,56.08,68,62,14.32,broken clouds
153,Vadso,NO,70.0744,29.7487,44.76,65,20,8.05,few clouds
154,Tabas,IR,33.5959,56.9244,97.02,11,0,2.3,clear sky
155,Aracati,BR,-4.5617,-37.7697,73.81,83,26,7.29,scattered clouds
156,Calama,CL,-22.4667,-68.9333,34.29,12,0,19.57,clear sky
157,Premia De Mar,ES,41.4921,2.3652,79.32,73,100,5.99,light rain
158,Ilo,PE,-17.6394,-71.3375,57.25,82,37,9.66,scattered clouds
159,Port Hawkesbury,CA,45.6169,-61.3485,64.35,95,100,6.91,overcast clouds
160,Goderich,CA,43.7501,-81.7165,68.92,83,1,8.05,clear sky
161,San Jose Del Guaviare,CO,2.5729,-72.6459,70.79,97,49,2.59,scattered clouds
162,Anuradhapura,LK,8.3565,80.4173,92.84,42,53,13.87,broken clouds
163,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,72.46,89,49,4.52,scattered clouds
164,Asyut,EG,27.181,31.1837,86.18,27,0,11.97,clear sky
165,Saint-Francois,FR,46.4154,3.9054,69.24,88,100,2.3,overcast clouds
166,Cidreira,BR,-30.1811,-50.2056,57.11,95,84,8.84,broken clouds
167,Tarko-Sale,RU,64.9225,77.785,47.62,88,98,11.39,overcast clouds
168,Saint Marys,US,30.7305,-81.5465,76.01,92,0,5.75,clear sky
169,Vitry-Le-Francois,FR,48.7333,4.5833,72.01,93,100,9.22,overcast clouds
170,Floriano,BR,-6.7669,-43.0225,69.57,57,4,0.47,clear sky
171,Herat,AF,34.5,62.0,87.62,6,0,9.84,clear sky
172,Lasa,IT,46.6166,10.7002,65.7,76,100,4.14,overcast clouds
173,Sabha,LY,27.0377,14.4283,92.08,22,0,12.33,clear sky
174,Nsanje,MW,-16.92,35.262,87.35,31,48,8.01,scattered clouds
175,Sambava,MG,-14.2667,50.1667,77.05,65,64,14.41,broken clouds
176,Taltal,CL,-25.4,-70.4833,55.78,51,0,4.92,clear sky
177,Youkounkoun,GN,12.5333,-13.1333,72.05,98,100,4.12,overcast clouds
178,Baglung,NP,28.2719,83.5898,77.31,75,100,2.71,overcast clouds
179,Port Shepstone,ZA,-30.7414,30.455,70.3,70,0,21.3,clear sky
180,Hualmay,PE,-11.0964,-77.6139,58.75,88,78,8.12,broken clouds
181,New Haven,US,41.4001,-72.9329,60.4,92,0,3.44,clear sky
182,Colares,PT,38.7992,-9.4469,69.76,84,75,28.99,broken clouds
183,Mukhtolovo,RU,55.4644,43.1953,50.52,91,100,11.18,overcast clouds
184,Januaria,BR,-15.4833,-44.3667,65.25,37,2,4.36,clear sky
185,Saint-Philippe,RE,-21.3585,55.7679,78.39,70,99,8.48,overcast clouds
186,Ipixuna,BR,-1.7625,-48.8043,72.03,97,7,3.49,clear sky
187,Tabuk,PH,17.4189,121.4443,86.77,70,9,1.88,clear sky
188,San Pedro,PH,14.35,121.0167,85.23,81,75,16.11,broken clouds
189,Coquimbo,CL,-29.9533,-71.3436,47.93,87,0,8.05,clear sky
190,Mananara,MG,-16.1667,49.7667,77.14,60,72,10.36,broken clouds
191,Belturbet,IE,54.1,-7.45,57.27,73,75,8.03,broken clouds
192,San Isidro,PE,-12.1167,-77.05,59.02,88,100,5.75,overcast clouds
193,Adre,TD,13.4667,22.2,84.47,53,53,5.44,broken clouds
194,Remontnoye,RU,46.5614,43.6501,66.76,57,93,13.53,overcast clouds
195,Sinnamary,GF,5.3833,-52.95,77.09,88,17,8.77,few clouds
196,Jalu,LY,29.0331,21.5482,84.79,34,0,10.4,clear sky
197,Nalut,LY,30.3333,10.85,89.37,23,0,10.85,clear sky
198,Chlorakas,CY,34.8042,32.4083,83.28,58,20,8.05,few clouds
199,Pandamatenga,BW,-18.5278,25.627,78.06,29,4,14.67,clear sky
200,Saint George,US,37.1041,-113.5841,64.63,84,96,5.99,light rain
201,Mehamn,NO,71.0357,27.8492,44.55,65,75,6.91,broken clouds
202,Antofagasta,CL,-23.65,-70.4,54.68,59,0,8.01,clear sky
203,Hamilton,US,39.1834,-84.5333,62.1,94,0,1.01,fog
204,Emba,KZ,48.8264,58.1442,71.85,20,69,20.15,broken clouds
205,Bela,IN,25.9333,81.9833,79.75,88,89,12.39,light rain
206,Narsaq,GL,60.9167,-46.05,39.42,55,46,6.17,scattered clouds
